nohup: ignoring input
wandb: Currently logged in as: mahdikhashan1 (nano-apps) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
/usr/local/lib/python3.11/dist-packages/wandb/analytics/sentry.py:259: DeprecationWarning: The `Scope.user` setter is deprecated in favor of `Scope.set_user()`.
  self.scope.user = {"email": email}  # noqa
/usr/local/lib/python3.11/dist-packages/wandb/analytics/sentry.py:259: DeprecationWarning: The `Scope.user` setter is deprecated in favor of `Scope.set_user()`.
  self.scope.user = {"email": email}  # noqa
wandb: Tracking run with wandb version 0.19.11
wandb: Run data is saved locally in /root/user/doom-drl/wandb/run-20250608_191312-02w0617w
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run denim-meadow-11
wandb: ⭐️ View project at https://wandb.ai/nano-apps/doom-rl
wandb: 🚀 View run at https://wandb.ai/nano-apps/doom-rl/runs/02w0617w
Host 38241
Player 38241
Ep 041: return   -0.7  |  ε 0.980
Ep 042: return   26.4  |  ε 0.979
Ep 043: return    4.8  |  ε 0.979
Ep 044: return   14.9  |  ε 0.978
Ep 045: return    0.8  |  ε 0.978
Ep 046: return   15.8  |  ε 0.977
Ep 047: return   -0.4  |  ε 0.977
Ep 048: return    5.1  |  ε 0.976
Ep 049: return   -0.7  |  ε 0.976
Ep 050: return   -1.4  |  ε 0.975
Ep 051: return    9.1  |  ε 0.975
Ep 052: return   10.5  |  ε 0.974
Ep 053: return   -0.5  |  ε 0.974
Ep 054: return   -1.7  |  ε 0.973
Ep 055: return    5.7  |  ε 0.973
Ep 056: return    6.6  |  ε 0.972
Ep 057: return   -0.4  |  ε 0.972
Ep 058: return    1.3  |  ε 0.971
Ep 059: return    6.0  |  ε 0.971
Ep 060: return   -1.2  |  ε 0.970
Ep 061: return    8.3  |  ε 0.970
Ep 062: return   -0.6  |  ε 0.969
Ep 063: return    7.2  |  ε 0.969
Ep 064: return    0.6  |  ε 0.968
Ep 065: return   -0.8  |  ε 0.968
Ep 066: return   -1.7  |  ε 0.968
Ep 067: return   -0.7  |  ε 0.967
Ep 068: return    0.0  |  ε 0.967
Ep 069: return   -0.1  |  ε 0.966
Ep 070: return    0.0  |  ε 0.966
Ep 071: return   -1.5  |  ε 0.965
Ep 072: return    0.0  |  ε 0.965
Ep 073: return   -1.8  |  ε 0.964
Ep 074: return    4.4  |  ε 0.964
Ep 075: return    6.8  |  ε 0.963
Ep 076: return    0.0  |  ε 0.963
Ep 077: return   -0.3  |  ε 0.962
Ep 078: return   -1.1  |  ε 0.962
Ep 079: return    2.8  |  ε 0.961
Ep 080: return   20.9  |  ε 0.961
Ep 081: return    6.9  |  ε 0.960
Ep 082: return    0.0  |  ε 0.960
Ep 083: return   17.0  |  ε 0.959
Ep 084: return   -0.7  |  ε 0.959
Ep 085: return    1.5  |  ε 0.958
Ep 086: return   -1.0  |  ε 0.958
Ep 087: return   -1.3  |  ε 0.957
Ep 088: return   -0.5  |  ε 0.957
Ep 089: return    0.0  |  ε 0.956
Ep 090: return   18.7  |  ε 0.956
Ep 091: return    5.5  |  ε 0.956
Ep 092: return   -1.7  |  ε 0.955
